Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
1179850512,15 backers,69 backers,33 backers,5 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608391652,1 backer,18 backers,9 backers,4 backers,6 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173364079,50 backers,145 backers,133 backers,121 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996535433,4 backers,6 backers,9 backers,9 backers,4 backers,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105280290,0 backers,2 backers,8 backers,11 backers,8 backers,7 backers,18 backers,2 backers,2 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383733,5 backers,4 backers,149 backers,104 backers,13 backers,8 backers,1 backer,0 backers,0 backers,2 backers,6 backers,3 backers,2 backers,1 backer,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259547126,8 backers,178 backers,7 backers,2 backers,25 backers,1 backer,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362287860,10 backers,33 backers,195 backers,85 backers,2 backers,1 backer,12 backers,9 backers,9 backers,26 backers,21 backers,5 backers,7 backers,2 backers,1 backer,7 backers,4 backers,1 backer,3 backers,2 backers,4 backers,0 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,
722664770,0 backers,6 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905155790,0 backers,1 backer,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317014070,3 backers,0 backers,2 backers,0 backers,2 backers,6 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390236808,2 backers,1 backer,4 backers,3 backers,8 backers,2 backers,12 backers,3 backers,7 backers,2 backers,4 backers,1 backer,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518742147,3 backers,24 backers,2 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383418925,2 backers,3 backers,3 backers,6 backers,0 backers,2 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580464470,11 backers,10 backers,39 backers,0 backers,36 backers,5 backers,14 backers,3 backers,11 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849129779,1 backer,20 backers,38 backers,2 backers,1 backer,10 backers,19 backers,6 backers,7 backers,1 backer,8 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865974505,0 backers,8 backers,20 backers,5 backers,5 backers,4 backers,7 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648216790,0 backers,5 backers,5 backers,7 backers,5 backers,26 backers,8 backers,3 backers,12 backers,0 backers,3 backers,5 backers,1 backer,1 backer,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199619615,12 backers,17 backers,25 backers,50 backers,30 backers,7 backers,16 backers,19 backers,39 backers,2 backers,11 backers,4 backers,1 backer,2 backers,5 backers,0 backers,6 backers,1 backer,0 backers,0 backers,3 backers,0 backers,0 backers,2 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,
24490629,15 backers,20 backers,20 backers,5 backers,11 backers,2 backers,4 backers,0 backers,13 backers,4 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491075423,5 backers,0 backers,36 backers,52 backers,22 backers,3 backers,16 backers,2 backers,3 backers,2 backers,1 backer,0 backers,0 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972462200,232 backers,20 backers,20 backers,20 backers,20 backers,20 backers,20 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900806647,4 backers,1 backer,2 backers,1 backer,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082103709,14 backers,19 backers,19 backers,16 backers,6 backers,27 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428928238,5 backers,1 backer,79 backers,119 backers,9 backers,2 backers,10 backers,0 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985182238,0 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924313519,1 backer,2 backers,26 backers,21 backers,3 backers,0 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958405297,135 backers,335 backers,494 backers,80 backers,89 backers,33 backers,1 backer,1 backer,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620658088,3 backers,0 backers,22 backers,12 backers,4 backers,1 backer,1 backer,0 backers,2 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543392732,0 backers,20 backers,11 backers,1 backer,1 backer,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096628501,3 backers,2 backers,3 backers,9 backers,11 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320261510,640 backers,76 backers,353 backers,69 backers,5 backers,300 backers,64 backers,2 backers,22 backers,7 backers,4 backers,5 backers,8 backers,3 backers,4 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682906010,3 backers,11 backers,8 backers,5 backers,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161860173,1 backer,5 backers,5 backers,1 backer,2 backers,2 backers,2 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957492419,8 backers,15 backers,5 backers,8 backers,10 backers,2 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970291544,2 backers,2 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629859925,54 backers,6 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549733051,6 backers,95 backers,19 backers,23 backers,0 backers,9 backers,1 backer,6 backers,4 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582872200,15 backers,972 backers,15 backers,"1,056 backers",651 backers,343 backers,95 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897408392,20 backers,50 backers,319 backers,15 backers,15 backers,50 backers,26 backers,23 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342090679,3 backers,43 backers,50 backers,44 backers,24 backers,7 backers,10 backers,2 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574193495,0 backers,9 backers,5 backers,2 backers,3 backers,2 backers,1 backer,1 backer,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796915224,8 backers,1 backer,9 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139810158,2 backers,25 backers,43 backers,11 backers,3 backers,6 backers,3 backers,0 backers,5 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070251896,8 backers,19 backers,5 backers,0 backers,28 backers,9 backers,3 backers,1 backer,5 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263878489,8 backers,26 backers,25 backers,7 backers,11 backers,0 backers,3 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216342387,37 backers,246 backers,46 backers,1 backer,248 backers,14 backers,13 backers,26 backers,54 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379381410,0 backers,2 backers,8 backers,2 backers,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116689571,12 backers,37 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957466674,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076019907,1 backer,2 backers,1 backer,0 backers,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078629796,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361228091,8 backers,6 backers,14 backers,9 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676421493,9 backers,1 backer,4 backers,2 backers,7 backers,52 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922678077,6 backers,26 backers,9 backers,19 backers,11 backers,2 backers,15 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678042958,5 backers,5 backers,5 backers,107 backers,26 backers,24 backers,9 backers,19 backers,6 backers,2 backers,0 backers,3 backers,32 backers,4 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290946650,16 backers,21 backers,35 backers,43 backers,16 backers,43 backers,22 backers,37 backers,7 backers,5 backers,18 backers,4 backers,4 backers,10 backers,41 backers,36 backers,8 backers,5 backers,5 backers,9 backers,4 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,
2119246635,96 backers,306 backers,25 backers,25 backers,14 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255771251,69 backers,122 backers,103 backers,82 backers,25 backers,10 backers,9 backers,2 backers,2 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806154725,10 backers,4 backers,35 backers,1 backer,18 backers,5 backers,2 backers,74 backers,2 backers,7 backers,0 backers,16 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758716488,3 backers,97 backers,118 backers,668 backers,50 backers,16 backers,20 backers,90 backers,7 backers,57 backers,6 backers,5 backers,8 backers,0 backers,28 backers,3 backers,1 backer,7 backers,3 backers,1 backer,1 backer,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,
232735269,8 backers,3 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288158525,7 backers,7 backers,5 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172315433,25 backers,319 backers,124 backers,412 backers,238 backers,28 backers,86 backers,4 backers,3 backers,5 backers,2 backers,1 backer,2 backers,1 backer,1 backer,2 backers,3 backers,0 backers,1 backer,1 backer,2 backers,3 backers,4 backers,,,,,,,,,,,,,,,,,,,,,,,,
1133766502,5 backers,7 backers,11 backers,8 backers,0 backers,0 backers,0 backers,0 backers,1 backer,0 backers,2 backers,0 backers,2 backers,0 backers,3 backers,0 backers,1 backer,0 backers,1 backer,0 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,
1830052859,3 backers,29 backers,52 backers,20 backers,10 backers,7 backers,0 backers,15 backers,5 backers,15 backers,2 backers,8 backers,1 backer,23 backers,1 backer,1 backer,1 backer,1 backer,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256308441,1 backer,1 backer,6 backers,3 backers,4 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802124006,883 backers,72 backers,10 backers,3 backers,3 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729597042,92 backers,45 backers,17 backers,113 backers,92 backers,52 backers,33 backers,33 backers,40 backers,210 backers,2 backers,12 backers,10 backers,3 backers,8 backers,3 backers,4 backers,3 backers,3 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,
78934691,2 backers,0 backers,2 backers,3 backers,6 backers,2 backers,20 backers,21 backers,4 backers,3 backers,16 backers,0 backers,5 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772659527,5 backers,2 backers,94 backers,32 backers,7 backers,5 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343974893,80 backers,"1,048 backers",748 backers,53 backers,13 backers,128 backers,9 backers,21 backers,41 backers,19 backers,5 backers,6 backers,1 backer,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288083121,16 backers,83 backers,41 backers,116 backers,11 backers,16 backers,8 backers,7 backers,14 backers,3 backers,2 backers,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981317267,4 backers,1 backer,1 backer,9 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334481201,5 backers,89 backers,33 backers,41 backers,40 backers,3 backers,1 backer,4 backers,15 backers,13 backers,3 backers,8 backers,5 backers,4 backers,4 backers,2 backers,0 backers,1 backer,2 backers,5 backers,0 backers,0 backers,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,
329404371,11 backers,28 backers,10 backers,17 backers,19 backers,8 backers,1 backer,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617255946,0 backers,6 backers,10 backers,0 backers,2 backers,2 backers,1 backer,0 backers,4 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284831824,0 backers,6 backers,20 backers,2 backers,6 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609796791,2 backers,16 backers,24 backers,38 backers,19 backers,14 backers,3 backers,10 backers,3 backers,6 backers,2 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941803253,0 backers,0 backers,10 backers,8 backers,8 backers,8 backers,2 backers,2 backers,3 backers,1 backer,8 backers,1 backer,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555645113,11 backers,30 backers,25 backers,42 backers,6 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341495603,323 backers,324 backers,61 backers,64 backers,15 backers,10 backers,179 backers,20 backers,48 backers,6 backers,3 backers,10 backers,8 backers,9 backers,6 backers,3 backers,0 backers,0 backers,3 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458683264,1 backer,11 backers,1 backer,0 backers,0 backers,3 backers,7 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781011382,2 backers,4 backers,0 backers,4 backers,1 backer,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419239108,14 backers,10 backers,7 backers,8 backers,6 backers,0 backers,3 backers,0 backers,0 backers,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904419300,1 backer,3 backers,21 backers,9 backers,2 backers,3 backers,7 backers,0 backers,14 backers,2 backers,0 backers,0 backers,3 backers,4 backers,16 backers,0 backers,4 backers,9 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653322460,5 backers,34 backers,12 backers,23 backers,292 backers,251 backers,107 backers,179 backers,53 backers,6 backers,13 backers,5 backers,1 backer,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725572740,10 backers,30 backers,38 backers,61 backers,16 backers,7 backers,2 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525754706,8 backers,10 backers,13 backers,8 backers,2 backers,3 backers,4 backers,0 backers,1 backer,0 backers,1 backer,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498800765,5 backers,2 backers,0 backers,2 backers,1 backer,1 backer,0 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037252958,2 backers,2 backers,1 backer,4 backers,2 backers,2 backers,5 backers,2 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430976991,5 backers,10 backers,10 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997294764,3 backers,2 backers,1 backer,0 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671396291,21 backers,41 backers,17 backers,20 backers,11 backers,18 backers,20 backers,0 backers,9 backers,1 backer,6 backers,0 backers,2 backers,1 backer,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141123387,28 backers,62 backers,39 backers,32 backers,27 backers,5 backers,25 backers,122 backers,60 backers,5 backers,26 backers,25 backers,2 backers,1 backer,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364249261,39 backers,20 backers,50 backers,8 backers,22 backers,18 backers,4 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041160275,7 backers,8 backers,9 backers,2 backers,3 backers,2 backers,3 backers,1 backer,2 backers,0 backers,0 backers,1 backer,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132892164,0 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132509803,0 backers,1 backer,3 backers,5 backers,1 backer,1 backer,0 backers,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507130318,0 backers,5 backers,5 backers,14 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807155505,25 backers,8 backers,6 backers,1 backer,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035260698,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552824047,9 backers,3 backers,13 backers,12 backers,3 backers,3 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927086440,6 backers,26 backers,25 backers,57 backers,72 backers,11 backers,17 backers,4 backers,3 backers,2 backers,7 backers,2 backers,1 backer,1 backer,0 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409583270,1 backer,0 backers,0 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128094718,94 backers,48 backers,15 backers,29 backers,"1,383 backers","2,278 backers",148 backers,"2,457 backers",222 backers,2 backers,391 backers,424 backers,193 backers,56 backers,33 backers,145 backers,28 backers,10 backers,20 backers,8 backers,9 backers,125 backers,17 backers,9 backers,5 backers,4 backers,29 backers,18 backers,29 backers,30 backers,0 backers,2 backers,5 backers,57 backers,10 backers,10 backers,20 backers,19 backers,5 backers,3 backers,2 backers,5 backers,1 backer,5 backers,6 backers,0 backers,0 backers
1858036867,4 backers,1 backer,0 backers,5 backers,5 backers,1 backer,15 backers,4 backers,6 backers,10 backers,4 backers,5 backers,5 backers,5 backers,2 backers,4 backers,0 backers,5 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276573756,349 backers,156 backers,547 backers,50 backers,69 backers,256 backers,48 backers,3 backers,28 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729229766,7 backers,0 backers,0 backers,0 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121433311,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206223062,8 backers,0 backers,1 backer,1 backer,1 backer,1 backer,1 backer,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010043252,5 backers,1 backer,5 backers,8 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105029730,2 backers,5 backers,4 backers,5 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434556573,0 backers,2 backers,7 backers,10 backers,4 backers,12 backers,10 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530348476,1 backer,8 backers,8 backers,4 backers,1 backer,2 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613734146,2 backers,11 backers,3 backers,1 backer,0 backers,1 backer,1 backer,1 backer,0 backers,1 backer,0 backers,2 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248054038,11 backers,10 backers,124 backers,30 backers,0 backers,0 backers,6 backers,13 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537214742,16 backers,100 backers,79 backers,2 backers,18 backers,6 backers,0 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990615914,3 backers,5 backers,7 backers,5 backers,8 backers,4 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422643105,3 backers,50 backers,276 backers,38 backers,20 backers,8 backers,13 backers,0 backers,0 backers,4 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581597188,33 backers,8 backers,8 backers,133 backers,79 backers,63 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142843896,1 backer,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574284270,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025087187,40 backers,29 backers,0 backers,14 backers,0 backers,1 backer,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669969131,1 backer,0 backers,1 backer,4 backers,1 backer,2 backers,3 backers,15 backers,8 backers,2 backers,0 backers,11 backers,0 backers,0 backers,3 backers,1 backer,3 backers,4 backers,2 backers,1 backer,0 backers,1 backer,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,
189399985,6 backers,0 backers,0 backers,2 backers,0 backers,1 backer,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850701322,6 backers,20 backers,20 backers,5 backers,40 backers,10 backers,17 backers,7 backers,8 backers,3 backers,7 backers,1 backer,1 backer,4 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972270450,2 backers,4 backers,30 backers,5 backers,1 backer,8 backers,1 backer,1 backer,1 backer,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874570335,5 backers,27 backers,9 backers,14 backers,7 backers,17 backers,9 backers,26 backers,17 backers,0 backers,0 backers,0 backers,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282624875,0 backers,0 backers,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035628406,128 backers,51 backers,149 backers,143 backers,148 backers,42 backers,59 backers,35 backers,8 backers,5 backers,17 backers,7 backers,3 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471491688,0 backers,14 backers,7 backers,5 backers,1 backer,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210051239,29 backers,4 backers,50 backers,30 backers,20 backers,36 backers,50 backers,16 backers,4 backers,10 backers,1 backer,0 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051597076,3 backers,0 backers,1 backer,0 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545035475,12 backers,44 backers,22 backers,16 backers,130 backers,26 backers,23 backers,39 backers,46 backers,6 backers,1 backer,10 backers,7 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94137440,1 backer,1 backer,0 backers,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122250471,2 backers,3 backers,33 backers,2 backers,3 backers,0 backers,8 backers,3 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996735300,5 backers,155 backers,2 backers,39 backers,64 backers,20 backers,8 backers,21 backers,20 backers,9 backers,3 backers,7 backers,1 backer,1 backer,4 backers,1 backer,1 backer,1 backer,0 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002571095,4 backers,6 backers,1 backer,0 backers,0 backers,2 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314642447,1 backer,1 backer,0 backers,0 backers,0 backers,0 backers,1 backer,0 backers,0 backers,0 backers,0 backers,2 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951612023,0 backers,0 backers,0 backers,1 backer,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421806202,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121464916,22 backers,4 backers,11 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715714705,6 backers,3 backers,1 backer,0 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
