name,the_number_of_columns,the_number_of_rows,the_number_of_pixel_in_each_column,the_number_of_pixel_in_each_row
9,4,5,1-3-3-3,2.0-2.0-3.0-1.0-2.0
8,4,5,2.0-3.0-3.0-2.0,2.0-2.0-2.0-2.0-2.0
1,2,5,1.0-5.0,2.0-1.0-1.0-1.0-1.0
2,4,5,3.0-3.0-3.0-2.0,3.0-1.0-2.0-1.0-4.0
3,4,5,2.0-3.0-3.0-2.0,3.0-1.0-2.0-1.0-3.0
4,4,5,3.0-1.0-1.0-5.0,2.0-2.0-4.0-1.0-1.0
5,4,5,4.0-3.0-3.0-2.0,4.0-1.0-3.0-1.0-3.0
6,4,5,3.0-3.0-3.0-1.0,2.0-1.0-3.0-2.0-2.0
7,4,5,1.0-3.0-2.0-2.0,4.0-1.0-1.0-1.0-1.0
0,4,5,3.0-2.0-2.0-3.0,2.0-2.0-2.0-2.0-2.0
-,3,1,1.0-1.0-1.0,3
gbp,4,5,2.0-4.0-3.0-3.0,2.0-1.0-4.0-1.0-4.0
$,5,7,2.0-3.0-7.0-3.0-2.0,1.0-4.0-2.0-3.0-2.0-4.0-1.0
",",2,2,1.0-1.0,1.0-1.0
K,4,5,5.0-1.0-2.0-2.0,2.0-2.0-2.0-2.0-2.0
R,4,5,5.0-2.0-2.0-3.0,3.0-2.0-3.0-2.0-2.0
F,4,5,5.0-2.0-2.0-1.0,4.0-1.0-3.0-1.0-1.0
F,4,5,5.0-2.0-2.0-2.0,4.0-1.0-4.0-1.0-1.0
dot,1,1,1,1
eur,4,5,3.0-3.0-3.0-2.0,3.0-1.0-3.0-1.0-3.0
END,0,0,0,0